ion,ammonia,ammoniumMolybdate,ammoniumOxalate,ammoniumSulfate,bariumChloride,dimethylglyoxime,hotWater,hydrochloricAcid,isoamylAlcohol,nitricAcid,potassiumChromate,silverNitrate,sodiumCoboltrinitrite,sodiumHydroxide,sodiumStannite,sulfuricAcid,thioacetamide
lead,,,,,,,dissolve,pptWhite,,,pptYellow,,,,,pptWhite,
silver,pptBlack,,,,,,,pptWhite,,,,,,,,,
mercury,,,,,,,,pptWhite,,pptWhite,,,,,,,
copper,pptBlue,,,,,,,,pptTeal,dissolve,,,,,,,
bismuth,,,,,,,,,,dissolve,,,,,pptBlack,,
colbalt,,,,,,,,,,,,,,,,,
nickel,,,,,,pptRed,,,,,,,,,,,
barium,,,pptWhite,pptWhite,,,,,,,pptWhite,,pptWhite,,,,
strontium,,,pptWhite,,,,,,,,,,pptWhite,,,,
sodium,,,,,,,,,,,,,,,,,
potassium,,,,,,,,,,,,,pptWhite,,,,
ammonium,,,,,,,,,,,,,pptWhite,ammoniaGas,,,
sulfate,,,,,pptWhite,,,,,,,,,,,,
carbonate,,gas,,,pptWhite,,,gas,,,,,,,,,
phosphate,,pptWhite,,,pptWhite,,,dissolve,,,,,,,,,
chlorine,,,,,,,,dissolve,,,,pptWhite,,,,,
nitrate,,,,,,,,dissolve,,,,,,,,ring,
